label,value,country
오리락 공항,AUR,프랑스
Aurukun Airport,AUU,오스트레일리아
오스틴 벅스트롬 국제공항,AUS,미국
오스튼 스트로벨 필드 공항,GRB,미국
오세르 블랑슈 공항,AUF,프랑스
아바루아 공항,AIT,쿡 군도
아베 스타 크릴 보 공항,XYP,프랑스
아비뇽 코움 공항,AVN,프랑스
아왕 공항,CBO,필리핀
악사모 공항,JKG,스웨덴
아이딘 공항,CII,터키
바 공항,BFJ,중국
바비모스트 공항,IEG,폴란드
바스케리 공항,BFH,브라질
바커우 국제공항,BCM,루마니아
바콜로드 국내공항,BCD,필리핀
바다호스 공항,BJZ,스페인
바그도그라 공항,IXB,인도
배징턴 공항,CVT,영국
바하왈퍼 공항,BHV,파키스탄
버하이 데 후아츌코 국제공항,HUX,멕시코
바레인 국제공항,BAH,바하마
바이아마레 공항,BAY,루마니아
백성 장안 공항,DBC,중국
베일리프 공항,BBR,과들루프
바이스 바마 공항,AEB,중국
바이윤 공항,CAN,중국
바즈페 공항,IXE,인도
발란디노 공항,CEK,러시아
발러 공항,BQA,필리핀
발리케시르 공항 ,BZI,터키
밸리나 바이런 게이트웨이 공항,BNK,오스트레일리아
볼티모어 워싱턴 국제공항 ,BWI,미국
발트라 공항,GPS,에콰도르
밤 공항,BXR,이란
바멘다 공항,BPC,카메룬
밤라울리 공항,IXD,인도
반 핫 사이 공항,HOI,프랑스령폴리네시아
바낙 공항,LKL,노르웨이
반다르압바스 국제공항,BND,이란
반다랭게 공항,BDH,이란
밴다라나이크 국제공항,CMB,스리랑카
뱅거 국제공항,BGR,미국
방기 음포코 국제공항,BGF,중앙아프리카공화국
바냐루카 국제공항,BNX,보스니아 헤르체고비나
반유방기 공항,BWX,인도네시아
바오산 공항,BSD,중국
바오터우 공항,BAV,중국
바르카 공항 ,KSC,슬로바키아
바르셀로나 국제공항,BCN,스페인
바두포스 공항,BDU,노르웨이
바리 카롤 워틸랴 국제공항 ,BRI,이탈리아
바리오 공항,BBN,말레이시아
바클리 지역공항,PAH,미국
바르나울 공항,BAX,러시아
Barranco Minas Airport,NBB,콜롬비아
바스코 공항,BSO,필리핀
베더스트아일랜드 공항,BRT,오스트레일리아
바트만 공항,BAL,터키
바트나 공항,BLJ,알제리
배턴루지 메트로폴리탄 공항,BTR,미국
보트스피오르 공항,BJF,노르웨이
바투 베렌둠 공항,MKZ,말레이시아
바투미 공항,BUS,조지아
Bayannur Tianjitai 공항,RLK,중국
바중 엔양 공항,BZX,중국
보배 공항 ,BVA,프랑스
베지쉐프 공항,NBC,러시아
베이간 공항,MFK,대만
베이하이 공항,BHY,중국
베이징 캐피탈 공항,PEK,중국
베이징 다싱 국제공항,PKX,중국
베이라 공항,BEW,모잠비크
베이루트 국제공항 ,BEY,레바논
베자 에어베이스,BYJ,포르투갈
벨라가 공항,BLG,말레이시아
벨라야 고라 공항,BGN,필리핀
벨파스트 시티 공항,BHD,영국
벨파스트 국제공항,BFS,영국
벨고로드 공항,EGO,러시아
벨그라드 국제공항,BEG,세르비아
벨링헴 국제공항,BLI,미국
벨몬테 공항,PVH,브라질
벨루 오리 존치 국제 공항,BHZ,브라질
벨로스타크 공항,EYK,러시아
벨프 공항,BRN,스위스
반구리온 국제공항,TLV,이스라엘
벤슬리만 공항,GMD,모로코
베나지르 부토 국제공항 ,ISB,파키스탄
벤베쿠라 공항,BEB,영국
벵갈루루 국제공항,BLR,인도
베닌 공항,BNI,나이지리아
베니토 후아레즈 국제공항 ,MEX,멕시코
벤쟈민 리베라 노리에가 공항,CPX,푸에르토리코
벨레보그 공항,BVG,노르웨이
베를린 브란덴부르크 공항,BER,독일
버트램 루이즈루폴스-소로카바 공항,SOD,브라질
브장송 라 베즈 공항,QBQ,프랑스
베슬란 공항,OGZ,러시아
베이지에르 비어스 공항,BZR,프랑스
바브하가 공항,BHU,인도
비자냐 공군기지,BUP,인도
분타르 공항,KUU,인도
비어드 공항,PIS,프랑스
비아리츠 팜 공항 ,BIQ,프랑스
비긴 힐 공항,BQH,영국
비주 타르나익 공항 ,BBI,인도
빌바오 공항,BIO,스페인
빌러드 시공항,TOP,미국
빌링스 로건 국제공항,BIL,미국
빌룬드 공항,BLL,덴마크
빌리비숍 토론토 시티 공항 ,YTZ,캐나다
Bingol 공항,BGG,터키
빈툴루 공항,BTU,말레이시아
버잔드 공항,XBJ,이란
버밍햄 국제공항,BHX,영국
버밍햄 셔틀워스 국제공항,BHM,미국
버사 문다 공항,IXR,인도
비샤 국내공항,BHH,사우디아라비아
비스크라 공항,BSK,알제리
비스마르크 시공항,BIS,미국
블랙풀 공항,BLK,영국
블레즈 디아뉴 국제공항,DSS,세네갈
발랑 빈탕 공항,BTJ,인도네시아
블룸폰테인 국제공항,BFN,남아프리카
블루아 르 브뢰일 공항,XBQ,프랑스
블루 다뉴브 공항 ,LNZ,오스트리아
블루 그래스 공항,LEX,미국
보아비스타 국제공항,BVB,브라질
밥 호프 공항,BUR,미국
보되 공항,BOO,노르웨이
보가쉐프 공항,TOF,러시아
보고로드스코예 공항,BQG,러시아
보이시 에어터미널 ,BOI,미국
버지노르드 공항,BJB,이란
보울 공항,ADD,이디오피아
Bole Alashankou Airport,BPL,중국
볼쇼이 사비노 공항,PEE,러시아
보르도 메리낙 공항,BOD,프랑스
보 목타르 공항,BMW,알제리
보르헤 헬 아랍 공항,HBE,이집트
보르고 공항,BOY,부르키나 파소
보링겐 공항,BQN,푸에르토리코
보르스폴 공항,KBP,우크라이나
보리쟈 공항,GAU,인도
본홀름 공항,RNN,덴마크
보롱간 공항,BPR,필리핀
보셈벨레 공항,BEM,모로코
Bouarfa 공항,UAR,모로코
부체키프 공항,TID,알제리
뷰카이프 / 탕게르 공항,TNG,모로코
부르지스 공항,BOU,프랑스
본머스 국제공항,BOH,영국
보우먼 필드,LOU,미국
브래들리 국제공항,BDL,미국
브라질리아 국제공항,BSB,브라질
브레멘 공항,BRE,독일
브리에 샹프니에 공항,ANG,프랑스
브린디시 살렌토 ,BDS,이탈리아
브린절랜드 공항,FDE,노르웨이
브리즈번 국제공항,BNE,오스트레일리아
브리스틀 국제공항,BRS,영국
브리브 / 수이락 공항,BVE,프랑스
브르니크 공항,LJU,슬로베니아
브로큰힐 공항,BHQ,오스트레일리아
브로마 공항,BMA,스웨덴
브로노이 공항,BNN,노르웨이
브룸 국제공항,BME,오스트레일리아
브라운스빌 사우스 파드레 아일랜드 국제공항,BRO,미국
브런즈윅 골든 아일스 공항,BQK,미국
브뤼셀 내셔널 공항,BRU,벨기에
부야안 공항,GES,필리핀
부쿠레슈티 아우렐 블래쿠 국제공항 ,BBU,루마니아
